id,nome
960,Trilha Em Controle
961,Trilha Em Processamento Gráfico
962,Trilha Em Sistemas Inteligentes
963,Trilha Em Algoritmos E Complexidade
964,Trilha Em Redes De Computadores
965,Trilha Em Engenharia De Software
966,"Trilha Em Otimização, Modelos Analíticos E Simulação"
967,Trilha Em Física
968,Trilha Em Banco De Dados
969,Trilha Em Interação Humano-Computador
970,Trilha Em Engenharia Biomédica
971,Trilha Em Sistemas Embarcados
972,Trilha Em Desenvolvimento Baseado Em Plataforma
973,Optativas Isoladas
